,,,,,,,,,,,
Y_colname,Name,Type,test-MAE,test-mae-0-10,test-mae-10-20,test-mae-20-30,test-mae-30-40,test-mae-40-50,test-mae-50-60,test-mae-60-80,test-mae-80-
Total Price,Train LGBM,只預測成屋," 1,275,426 "," 357,934 "," 649,595 "," 1,044,890 "," 1,195,848 "," 1,380,583 "," 1,762,936 "," 2,115,236 "," 3,889,365 "
Total Price,Train LGBM allData_add_variable_notej,無總經資料," 1,303,110 "," 391,520 "," 633,058 "," 898,197 "," 1,008,611 "," 1,384,674 "," 2,134,603 "," 2,133,589 "," 3,229,012 "
Total Price,Train LGBM allData_add_variable,全部欄位," 1,332,839 "," 397,493 "," 650,419 "," 915,652 "," 1,020,913 "," 1,404,584 "," 2,147,134 "," 2,321,056 "," 3,305,814 "
Total Price,Train LGBM cvtime,依照時間拆分CV," 1,402,186 "," 374,818 "," 665,195 "," 1,091,618 "," 1,284,585 "," 1,547,636 "," 1,933,038 "," 2,726,998 "," 4,216,909 "
Total Price,Train LGBM allData_add_variable_filter,參考Feature Importance與人工判斷刪除X欄位," 1,934,845 "," 895,842 "," 1,265,899 "," 1,161,147 "," 1,373,514 "," 1,852,148 "," 2,518,787 "," 3,308,794 "," 5,489,460 "
Total Price,RandomForest Regressor,," 2,130,325 "," 401,045 "," 930,480 "," 1,208,273 "," 1,283,425 "," 1,758,645 "," 2,711,865 "," 3,053,000 "," 5,695,865 "
Total Price,Decision Tree Regressor,," 2,878,679 "," 520,771 "," 1,122,212 "," 1,479,888 "," 1,619,735 "," 2,125,317 "," 3,508,902 "," 4,303,233 "," 8,349,377 "
,,,,,,,,,,,
,,,,,,,,,,,
 Y_colname , Name , Type , test-MAE , test-mae-0-10 , test-mae-10-20 , test-mae-20-30 , test-mae-30-40 , test-mae-40-50 , test-mae-50-60 , test-mae-60-80 , test-mae-80- 
 Unit_Price_Ping , Train LGBM allData_add_variable_notej , 無總經資料 ," 35,217 "," 37,810 "," 40,781 "," 35,093 "," 30,857 "," 33,448 "," 44,407 "," 35,932 "," 37,417 "
 Unit_Price_Ping , Train LGBM allData_add_variable , 全部欄位 ," 36,122 "," 38,342 "," 40,632 "," 35,828 "," 31,754 "," 34,833 "," 45,621 "," 36,071 "," 39,416 "
 Unit_Price_Ping , Train LGBM , 只預測成屋 ," 38,511 "," 38,139 "," 42,507 "," 42,238 "," 36,462 "," 34,193 "," 36,367 "," 36,123 "," 44,734 "
 Unit_Price_Ping , Train LGBM cvtime , 依照時間拆分CV ," 41,663 "," 39,722 "," 44,103 "," 44,696 "," 38,852 "," 37,229 "," 40,392 "," 47,702 "," 48,759 "
 Unit_Price_Ping , Train LGBM allData_add_variable_filter , 參考Feature Importance與人工判斷刪除X欄位 ," 89,196 "," 125,787 "," 119,861 "," 78,897 "," 78,393 "," 80,003 "," 85,076 "," 110,307 "," 130,253 "
